,issue_date,article_num,author,title,url,get_date,view_count
0,2020.08.17.,286184,GOCD,"Rab WITH GOCD REVIEW - 세계 3대 다운 브랜드 중 하나인 랩 그리고 퍼텍스 원단 ""THE MOUNTAIN PEOPLE""",/ArticleRead.nhn?clubid=19943558&menuid=64&boardtype=L&page=1&specialmenutype=&userDisplay=50&articleid=285680,2020-08-19,"1,357"
1,2020.08.05.,286183,GOCD,PATAGONIA WITH GOCD REVIEW - 실용성을 위해 만들어진 가방 Paxat Pack 'Build for the practical' <파타고니아>,/ArticleRead.nhn?clubid=19943558&menuid=64&boardtype=L&page=1&specialmenutype=&userDisplay=50&articleid=283046,2020-08-19,1.6만
2,2020.07.24.,286182,GOCD,FJALLRAVEN WITH GOCD REVIEW - 일상에서 만나는 피엘라벤 DAYPACKS FOR ANYWHERE,/ArticleRead.nhn?clubid=19943558&menuid=64&boardtype=L&page=1&specialmenutype=&userDisplay=50&articleid=280440,2020-08-19,1만
3,2014.08.26.,286181,GOCD,2020 GOCD MANUAL,/ArticleRead.nhn?clubid=19943558&menuid=64&boardtype=L&page=1&specialmenutype=&userDisplay=50&articleid=44062,2020-08-19,14만
4,2020.04.19.,286180,GOCD,바이럴 마케팅 브랜드 리스트 + 매뉴얼 강화,/ArticleRead.nhn?clubid=19943558&menuid=64&boardtype=L&page=1&specialmenutype=&userDisplay=50&articleid=257213,2020-08-19,1.1만
5,14:13,286179,제주가좋더라,알든 6243 질문 올려봅니다!,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286184,2020-08-19,30
6,14:07,286178,시티보이즌,긴바지 안에 여름용 쿨타이즈 입어도 될까요?,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286183,2020-08-19,59
7,14:02,286177,눈부셔베베,노란 신발 코디 사진 좀 공유해주세용,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286182,2020-08-19,72
8,14:01,286174,이시하라사토미,리오파 국내에 45사이즈 들어오는 곳 아이엠샵 뿐인가요...?,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286181,2020-08-19,104
9,13:57,286173,반지방,오라리 뉴발 앤드에서 이미 드로우 끝난건가요?,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286180,2020-08-19,172
10,13:42,286170,타조야홍차좀타조,"오어슬로우 퍼티그, 프리마로프트 사이즈 질문!",/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286179,2020-08-19,156
11,13:30,286167,중경301기,옥스포드셔츠  흰색vs파란색,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286178,2020-08-19,338
12,13:26,286166,천안호두연두,993 정사이즈로 주문했는데 많이 불편할까요?,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286177,2020-08-19,265
13,13:14,286165,christianlgy,알든 탱커 색상 투표 좀 부탁 드립니다.,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286174,2020-08-19,156
14,13:09,286161,폴로매니아,맥스97 착화감 어떤가요,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286173,2020-08-19,174
15,12:40,286160,항상배고픔,작년 홀리선 패딩 사신 분들 어떠셨는지 궁금합니다.,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286170,2020-08-19,569
16,12:12,286157,pleasey14,스튜디오 니콜슨 무드의 도메스틱 브랜드,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286167,2020-08-19,897
17,12:10,286156,zeroroad,lesca lunetier 구매 고민,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286166,2020-08-19,306
18,12:08,286154,OKNOTOK,Cos 와이드 데님 언제 입고되는지 아시는 분 계실까요,/ArticleRead.nhn?clubid=19943558&page=1&userDisplay=50&menuid=64&boardtype=L&articleid=286165,2020-08-19,406
