,author,date,url,title,contents,issue_date,view_count
0,직구딜공 by 뉴욕블록_해외 직구...,2020-08-25,https://cafe.naver.com/nyblog/529083,자라 플리츠 미니 버킷백 샀어요,【매장명】 자라 【위치】 충장로 【브랜드】 자라 【상품명】 플리츠 미니 버킷백 【가격】 35000 【구입날짜】 8/12 【사이즈리뷰】 【매장영수증】 【매장사진】 ...,2020.08.12,0
2,"""시크먼트"" 명품 정보 커뮤니티 ...",2020-08-25,https://cafe.naver.com/parisienlook/1990427,구찌 버킷백 블랙!!,7월에 구입한걸 이제 올리네요ㅠㅠ 버킷백 수납이 너무 좋아서 또 구매 했어용 ㅎ.ㅎ 화이트 할까 하다가 가을겨울에도 들 수 있는 블랙으로 했어요~! 청바지랑 찰떡...,2020.08.12,0
4,▒ 스마트바겐 해외직구.유럽직구...,2020-08-25,https://cafe.naver.com/smartbargain/997101,펜디 몬트레조 버킷백 아크네스튜디오 포바 로저 비비에르 벨르 ...,펜디 몬트레조 버킷백 아크네스튜디오 포바 로저 비비에르 벨르... 몬트레조 버킷백 알록달록 컬러풀 합니다. 미니 사이즈 캔바스 버킷백이구요...,2020.08.12,0
6,"""시크먼트"" 명품 정보 커뮤니티 ...",2020-08-25,https://cafe.naver.com/parisienlook/1995412,고야드 쁘띠플로 버킷백 구입했는데 안어울리네요ㅠㅠ,그 구하기 힘들다는 버킷백 쁘띠플로 브라운 콤비 구입했는데 두점 들어와서 둘다 컨디션 확인하고 샀는데 ㅠㅠ . . . 저한테 너무 안어울려서 슬퍼요ㅠㅠ 팔아야 할...,2020.08.14,0
8,직구딜공 by 뉴욕블록_해외 직구...,2020-08-25,https://cafe.naver.com/nyblog/529918,"스타우드 셜리백 역대가 42불, 버킷백 64불, 이자벨마랑 킨지 16...","42불, 버킷백 64불, 이자벨마랑 킨지 168불, 베트멍 컨버스 134불, 아크네스튜디오 스카프 59불 보러가기 스타우드 셜리백 역대가 42불, 버킷백 64불,...",2020.08.13,0
10,라희네 뜨개방,2020-08-25,https://cafe.naver.com/0303rh/82539,버킷백 조임끈 스텝퍼 뜨는 방법,버킷백 조임끈을 묶지 않고 조여주는 스텝퍼를 뜨려는데 유투브 검색해봐도 영상을 못찾겠어요. 떠 보신 분 계시면 뜨는 방법 셜명 부탁드립니다. 관련 영상 링크도 좋...,2020.08.13,0
12,라희네 뜨개방,2020-08-25,https://cafe.naver.com/0303rh/82523,버킷백이에용ㅋㅋㅋㅋ,바스켓실로 만든 버킷백이에요 ㅋㅋ 친구들이 부탁해서 만들어줬네요 ㅋㅋㅋㅋ 실이 가볍고 좋아요,2020.08.13,0
14,▒ 스마트바겐 해외직구.유럽직구...,2020-08-25,https://cafe.naver.com/smartbargain/997268,마이테레사 펜ㄷㅣ 버킷백 샀어요,■ 쇼 핑 몰 : 마이테레사 ■ 브랜드/제품명(한글) : 펜디 Mon Trésor Mini canvas bucket bag ■ 가격정보 : eur1036 ■ 주문...,2020.08.12,0
16,인천 아띠아모 (인천맘 대표카페...,2020-08-25,https://cafe.naver.com/kyungmammo/4751373,미싱으로 버킷백 만들었어요!,미싱으로 버킷백 만들었어요! 요즈 버킷백 이뻐서 갖고 싶었는데 부라더미싱 소잉팩토리 미싱 수업으로 제가 직접 만들다니요!!! ㅋㅋㅋ 자수는 자수미싱으로 한거에요 ...,2020.08.14,0
18,직구딜공 by 뉴욕블록_해외 직구...,2020-08-25,https://cafe.naver.com/nyblog/528687,롯데온 메종마르지엘라 버킷백 107만원,샀던 거 보내고 자꾸 아른거려서 결국 다시 샀네요 카드청구받아 107만원이면 저렴하게 산 것 같아요!!,2020.08.12,0
20,직구딜공 by 뉴욕블록_해외 직구...,2020-08-25,https://cafe.naver.com/nyblog/529956,아웃넷에서 스타우드 버킷백 삿어용ㅎ (feat.앙꼬님♡ 감사♡♡),【해외쇼핑몰】 미 아웃넷 【브랜드】 스타우드 【상품명】 STAUD Moreau leather and macramé bucket bag Burgundy 【가격】 $...,2020.08.13,0
22,★어스맘★명품구매대행_아울렛구...,2020-08-25,https://cafe.naver.com/ttoksun2/1905945,(구해요)미우미우 샤인 버킷백 블랙,"핫딜 여러번 있었는데, 다놓쳤어요. 혹시 블랙색상 구매하신분중 벼룩하실분 댓글 부탁드립니다",2020.08.13,0
24,"""시크먼트"" 명품 정보 커뮤니티 - 샤넬 에르...",2020-08-25,https://cafe.naver.com/parisienlook/1991554,요즘 프라다 버킷백 블랙 매장에서 구하기 쉽나요??,한참 핫했던 예전에 매장에서 구하기 힘들었던 걸로 알아서~ 요즘은 어떤지 궁금하네요 항상 재고 없는 편이면 직구로 살지 고민이에요ㅠㅎㅎ,2020.08.13,0
26,"""시크먼트"" 명품 정보 커뮤니티 - 샤넬 에르...",2020-08-25,https://cafe.naver.com/parisienlook/1989109,프라다버킷백 고야드미니앙주 고민이네요.,프라다 버킷백 대기걸고 왔는데 아직 환불이 가능해서요. 그냥 취소하고 돈 더 보태서 미니앙주나 다른걸 살까요. 그냥 프라다 살까요. 버킷백 너무 늦게사려니 고민이에요. 천소재를 139 주고 사려니 자꾸...,2020.08.12,0
28,송영예의 바늘이야기 카페 - 바람...,2020-08-25,https://cafe.naver.com/khka/86109,알로하 버킷백,친 언니에게 줄 가방입니다. 패키지 너무 예뻐서 시작했는데 원통형이 언니 나이에는 좀 작아보여 타원형 바닥으로 크게 업그레이드 됐습니다. 파우치도 사이즈에 맞춰서...,2020.08.14,0
30,직구딜공 by 뉴욕블록_해외 직구...,2020-08-25,https://cafe.naver.com/nyblog/530101,재입고 빨리 보세요~ 피오갓 에센셜 백로고 집업 스웻셔츠 재입고...,"에센셜 백로고 집업 스웻셔츠 재입고 보러가기 센스 핫딜 모아보기 스타우드 셜리백 역대가 42불, 버킷백 64불, 이자벨마랑 킨지 168불, 베트멍 컨버스 134불...",2020.08.14,0
32,카페 파우더룸 [ 화장품.뷰티.쇼...,2020-08-25,https://cafe.naver.com/cosmania/30211108,마르지엘라 가방 컬러 선택장애,메종 마르지엘라 버킷백 구매하려는데 결정장애와서 색상을 못정하고 있어요ㅠㅠ 지금 검정색 가방은 4개있어서 흰색을 살까 생각들다가 평소에 가방 막들어서 오염될거 생...,2020.08.14,0
