brand,yyyyww,shopcode,ours_sale,req_sales,req_md,req_product,req_vmd,style_best,style_worst,style_reorder,others_style,others_dept,others_brand,etc,input_userid,input_date,update_userid,update_date,req_productdept
M,2019-32,079,"이번주는 날씨가 많이 덥고 휴가기간이 계속되면서 
백화점 , 매장내 입점고객님이 많이 계셨습니다.
이번주는 반팔을 구매하시는 고객님도 계셨지만 가을 신상품의류를 많이 보시고 구매도 많이 하셨습니다. 
모자같은경우 물놀이를위해 구매하시는 고객님이 많이계셨으며 그로인해
CP77상품과 쿨필드를 찾으시는 고객님이 많이 계셨습니다. 
여성분들은 OPCE를 구매하기 위해 찾아오시는 고객님들이 많이 계셨습니다.",,,,,"CP77,CP17,OPCE,TS01941,TSN1941,MTR1941,MT04941,TSM1941",,,,,JEEP-8월9~18일까지 널디매장 플랙진매장사이 팝업진행,,M079,2019-08-11 00:00:00.000000,,2019-08-11 17:11:43.000000,
M,2019-32,084,요즘 날씨가 아직더워서반팔 보신는 분들이계시는데   사이즈 넘 부족합니다...아직까지 가을 상품은 보시는 분들이 많이 있지는 않아요....,"이번 가을 신상품 TSC2 같은 경우 싸이즈가 넘 여유있게 나온거같아요....기본 쭉티는 안에 이너로도 입으시는 분들이 있는데  이너 활용은 
조금 힘들듯합니다...",,신상품 하의넘 없어요...가을 신상품 원피스 빠른 출고 부탁드려요>>.TS03 번 같은 경우 긴팔티셔츠 가격 넘 저렴해요...그리고   목원단 넘 쉽게 늘어날것 같다고들 하세요...,,"TSS3  MT05   TSSJ   TSCD   CP77 SHS1   SHS2   SHP1,,  SHP2    ",,,,,,,M084,2019-08-11 00:00:00.000000,,2019-08-11 19:56:09.000000,신상품 트레이닝 셋트 많이들 물어보세요...빠른 출고부탁드려요....
M,2019-32,138,"계속 무더운 날씨가 이어지면서 반바지등의 여름의류를 보는분들이 늘었고, 여행용 힙색을 보는분들도 크게 늘었습니다. 가을 의류가 계속 출고되고 있지만 현재까지는  거의 반응이 없는 상태입니다. 상권 특성상 완전히 가을이 되기 전까지는 판매가 어려울듯합니다. 반팔는 부담스럽지않은 캐릭터 디자인의 반팔티가 가장 인기가 많았고, TS21같은 기본스타일의 시원하게 입을수있는 반팔도 인기가 많았습니다. 반바지의 경우는 면 소재의 반바지는 판매가 적으며 나일론 소재의 반바지가 많이 판매되었습니다. 여성용 나시와 원피스를 보는분들도 아직까지 꾸준히 있지만 스타일수와 사이즈가 많이 줄어들어 판매로 이어지기에는 어려움이 있습니다. ",,,,,"TS21 TSS3 TSTK TSLA TST0
TSTN TSTM TSM1 TSTH
SHC1 SHC2
BGC9 BGA2 ",,"TS21 TSS3 TSTK TSLA TST0
TSTN TSTM TSM1 TSTH
SHC1 SHC2
BGC9 BGA2 ",,,,,m138,2019-08-11 00:00:00.000000,,2019-08-11 17:45:22.000000,
M,2019-32,008,"이번 한주는 가을신상이 입고되었는데, 가을 대비로 많이들 보셨습니다. 
롱패딩은 아직 반응이 없지만 기본 얇은 쭉티류를 많이들 보셨습니다. TS01941, TS02941,TSM2941가 인기가 많았습니다.
청키플레이볼과 샌들도 전 주보다 판매량이 높았으며,청키슈즈는 꾸준히 나갔습니다.
모노그램 CPFB와 BGC9는 여전히 반응이 좋으며, 기본모 CP11,CP12,CP16,CP18,CP77 꾸준히 나갔습니다.",,,,,,,,,"신한/국민 20,40,60,100   5% 상품권 증정",,,m008,2019-08-11 00:00:00.000000,,2019-08-11 19:37:38.000000,
M,2019-32,179,"7월말부터 주말보다는 평일 입점 고객수+매출이 더 많습니다.

휴가시즌을 맞이하여 평일에 쇼핑을 하고 주말에 떠나시는 분들이 많은데 주로 모자, 반팔티셔츠를 구매하고 계십니다.

매쉬캡을 많이 찾으시는데 종류가 부족해 판매하는데 아쉬움이 많습니다.
(811 상품이 있기는 하나 매쉬캡을 찾으시는 분들은 대부분 초등학생 혹은 30대이상 남성분으로 조절스타일보다는 CP74 같은 플랙스핏 찾는 분들이 많습니다)

CP13,CP16,CP17 의 새로운 칼라(A,I,D,S 등)가 기존에 나오지 않았던 칼라감으로 예쁘다면서 칭찬하고 가시는 고객님들이 많습니다.

청키슈즈로 10~20대 고객이 많이 유입되었으며, 신발을 구입하시면서 자연스레 모자나 의류를 함께 보시는 고객님들이 늘었는데,

기존 MLB스러운 칼라감에서 좀 더 벗어나 트랜디한 칼라감의 모자(특히 플랙스핏), 의류가 나오면 인지도가 더욱 올라가 매출에 더 많은 도움이 될 꺼라고 생각합니다.",,,,,"CP11,12,15,16,77

TS21,S3,SJ,TP

SHC1,C2

BGA2,C9

MT05",,베스트상품,,"월~목- 유플렉스 단일 20만원이상 구매후 H포인트 적립고객 1만원 상품권 증정.
금토일- 자사(단일) 30/60/100만원 5% 자사상품권증정.
자사 단일 100만원 이상 6개월 무이자.",,,m179,2019-08-11 00:00:00.000000,m179,2019-08-11 00:00:00.000000,
M,2019-32,193,"이번주 가을 신상품이 많이 나갔습니다 날씨가 심각하게 덥지 않다보니 긴팔티셔츠 
맨투맨 보시는분들이 많아졌습니다 그중에 특히 MT05941 상품 아이보리 상품이 굉
장히 반응도 좋고 엄청 찾습니다 중국분들도 오셔서 가족티로 맞춰가려 하기도 하고
국내 고객님들한테 반응이 좋습니다 아이보리 없을때 간간히 블랙도 나가고 가을 신
상품중에 반응이 가장 좋은 상품입니다 또 TSM2 상품도 많이 보시고 하십니다 신발
이번주는 청키슈즈 크게 보지는 않았지만 그래도 하루 2~3 피스는 나가는 편입니다 
가방중에 BGC9 BGA2 상품 엄청 찾습니다 많이 보고 모자중에도 CPH1 주문을 엄청
하고 가는편인데 수량이 부족하다보니 너무 아쉽습니다 고객님께서 100만원 이상 주
문하고 가셨는데 빨리 리오더가 되었으면 합니다 CPH1 특히 50L 엄청 찾습니다 원
피스로는 OPCE 상품이 저렴하고 깔끔해서 반응이 아주 좋습니다 반팔 티셔츠로는 
TS21 상품이 깔끔하고 가격도 저렴하다보니 커플티로도 많이 보고 하십니다 모자로
CPH1 벙거지 모자 제일 급합니다 그리고 CP77 꾸준히 반응이 좋고 인기있습니다 
밴드형모자 종류가 늘어나다보니 확실히 남성분들한테 반응이 좋고 인기 있습니다 ",,,,,"MT05941 : 맨투맨중에 반응이 가장좋습니다 입었을때 핏이 이쁘고 확실히 남성분들보단 
여성분들한테 반응이 아주 좋습니다 
TS21931: 반팔 깔끔하고 저렴하다보니 많이 보시고 커플티로도 많이보십니다 
SHC1 SHC2 : 저번주보단 반응이 좀 덜하지만 그래도 꾸준히 보는 상품입니다 
BGC9 BGA2 BGC5: 힙색 이 3가지 상품이 반응이 좋고 제일 인기 많습니다 
CPH1 : 방문해 주셔서 주문 엄청 합니다 빨리 리오더가 되었으면 합니다 
OPCE : 가격이 저렴하고 깔끔해 많이 봅니다 ",,"CPH1 50L : 제일 급한 상품입니다 오셔서 주문을 크게크게 하고 가시는 상품입니다 
빨리 리오더가 되었으면 합니다 
BGC9 : 꾸준히 찾는 가방 입니다 
MT05941 50I : 아이보리 반응이 가장 좋습니다 
",,,,,m193,2019-08-11 00:00:00.000000,,2019-08-11 12:19:26.000000,
M,2019-32,195,"날이 더운대도 불구하고 19FW 긴팔티 보시는 분들 좀 있으십니다, 그리고 긴바지 찾으시는 분들도
간간히 계십니다. 10대 고객분들은 주로 청키슈즈를 많이 보고
20-30대 여성분들은 원피스 남성분들은 반팔티 슬링백 많이 보십니다.
CAP 같은경우 CP77 여전히 많이 보시고 기본디자인이 제일 잘나가는 것 같습니다.",,,,,,,,,,,,m195,2019-08-11 00:00:00.000000,,2019-08-11 11:51:55.000000,
M,2019-32,508,"내국인 고객님보다는 10대, 20대 외국인 고객님이 더 많이 찾아주신 한 주 였습니다.
고객님들 모두 시원해보이는 푸른 계열의 상품과 화이트 컬러의 상품을 선호하셨는데
푸른 계열 티셔츠는 TS21(07U), TSLA(07U)  가 눈길을 많이 끌었고, 흰색 티셔츠는 TSS3(07W, 50W), TS21(07W, 50W), TSM1(50W)를 
많이 보셨습니다. 
모자 역시 푸른 계열의 CP77(07U, 07G)을 선호하셨습니다.
버킷햇은 감싸고 있는 띠 디자인에 로고 포인트가 있는 CPH7(07W, 50L)과 쿨필드 소재인 CPH8(50W, 50L)를  많이 보셨는데 시원하게 느껴지는 소재여서  반응이 좋았습니다. 
",,,,,"MT05941 -  입고가 되자마자 중국, 베트남 여성 고객님들이 많이 찾으셨으며  특히 아이보리 컬러가 반응이 좋습니다. 
TSSJ931 - 티셔츠 뒷면에 양키즈 빅로고와 MLB Like가 귀엽게 레터링되어 있어 로고가 크게 디자인된 상품을 좋아하시는 중국인 고객님들이 많이 찾으셨으며  블랙, 핑크 컬러가 반응이 좋습니다.
OPCE931 - 깔끔하면서도 로고로 포인트를 줄 수 있는 원피스를 내국인 고객님들이 많이 찾으시는 스타일과 적합해 많이들 구매해가시며  화이트, 블랙, 옐로우 컬러가 반응이 좋습니다.
BGC9911 - 모노그램으로 디자인 되어 가방 하나만으로도 포인트가 돼 중국인 고객님들이 많이 찾으셨으며  블랙 컬러가 반응이 좋습니다.","OPC4931 - 소재가 다른 원피스에 비해 두꺼운 편이어서  판매로 이어지지 않습니다. 
BG01911 - 소재는 좋지만 색상이 너무 튀어 데일리로 메기에는 조금 아쉽다는 고객님들이 계십니다. ",,,,,,m508,2019-08-11 00:00:00.000000,m508,2019-08-11 00:00:00.000000,
M,2019-32,513,"이번 주는 폭염절정의 무더위로 인하여 워터파크로 피서를 가시기 위해 방문하시는 내점도가 증가하면서 래쉬가드스타일과 함께
자외선차단겸 데일리포인트아이템으로 모자의 수요가 증가하였습니다.
그리고, 이번 주는 외국인층이 방학기간으로 자국에 
특히, 이번 주에 광주에서 싸이 흠뻑쇼가 진행하면서 젊은 층으로 해서 워터 페스티벌의 필수아이템인 CP77,CP07모자와 시원한 소재의
TS21로 하여 블루컬러코드로 레이어드하는 구매하시는 고객층이 증가하는 동향이 보였습니다.
그리고, 휴가지에서도 입기 위한 시원해보이는 블루컬러가 다양한 핏의 티셔츠들로 하여 반응도가 높았습니다.
특히, 이번 주에 여성층의 워터밤과 워터파크 준비아이템과 사계절 다양하게 활용할 수 있는 볼캡부터 해서 CP07과 신상스타일의 
볼캡들이 젊은 층에게서 선호도가 높아짐이 보였습니다.
이번 주는 휴가철에 맞게 포인트아이템으로 고급스러워보이는 모노그램모자와 가방이 세트로 하여 패셔너블한 아이템으로 착용도가
보였는데, 모자와 가방 세트구매시 프로모션의 유무문의도가 있었으며, 구매도가 보였습니다.
그리고, 이번 주 입고된 19F신상티셔츠와 신상맨투맨의 입고로 TSM1과 M2가 2,30대 층으로 해서 반응도가 보였는데,  시그니쳐느낌의 
빅백로고디자인이 19F에도 반응도가 이어질 듯 합니다.
그리고, 무더위인데도 트렌드에 맞는 디자인으로 깔끔핏의 JPCD아노락 스타일이 패셔너블한 스타일로 20대 젊은층에게서 긴팔임에도
불구하고 선호도가 있었습니다.
그리고, 본 점의 근접한 매장중에 뉴에라에서도 31TSS3931 비슷한 디자인이 출시되어 인지도가 더욱 높아짐이 보였습니다.",,,"31TS01941 
10대부터 20대 여성층과 젊은 커플층에게서 빅로고 팝핑 롱슬리브 티셔츠로 반응도가 보였습니다.
여름철 야외활동이나 페스티벌을 위한 레이어드룩으로 연출하기 적당한 티셔츠로 선호도가 있었으며, 원단이 얇고 가벼워 휴가철에는 
비키니 위에 걸칠 수 있는 비치웨어로도 활용 가능하고, 반바기와 매치하여도 트렌디한 룩으로 연출 할 수 있어 착용도가 높았습니다.
시즌 특성상 시원해보이는 블루컬러가 선호도가 높은 편이었으며, 선명하고 짙은 컬러감으로는 청바지와 매치하였을 때, 요즘 트렌드에
맞는 레트로한 느낌을 줄 수 있을 듯 합니다.
다만, 젊은 여성층의 요즘 오버핏의 선호도가 높아지고 있어 오버핏으로 디자인되었다면, 핏감에서 훨씬 트렌디하여 만족도가 높았을
듯 합니다.",,"31TSM1941
요즘 트렌드인 레트로와 뉴트로무드에 맞는 모노그램 빅로고백프린팅티셔츠로 앞판 기본스몰로고를 선호하시는 10대젊은층부터 고급스러운 
감성의 상품을 선호하시는 3,40대 고객층까지해서 깔끔핏으로 선호도가 있었습니다.
31TSS3931 상품과 같은 등판 빅로고포인트인데, 백로고에 모노그램포인트를 줌으로써 심플하지만 더욱 고급스럽게 연출할 수 있어 
퀄리티있는 시그니쳐한 티셔츠로 반응이 좋을 듯 합니다.
특히, 유니크한 디자인의 티셔츠를 찾으시는 20대에서30대 고객층에게서 반응이 이번 주에 보였습니다.
또한 기본의 S3스타일과는 달리 적당한 사이즈가 아닌 오버핏으로 나와 스트릿한 감성을 선호하시는 고객층에게도 추천해드릴 만한 
스타일로 착용도가 있었습니다.
특히 남성층의 도톰한 힘있는 소재로 오버핏을 선호하시는 고객층이 증가하면서 핏감에서 또한 만족도가 높았으며, 깔끔한 스몰로고느낌이
앞판에 있다보니, 고급스러운 깔끔한 디자인으로 선호도와 착용도가 높았습니다.
다만, 원단이 TSS3도 도톰했지만, 보다 훨씬 내구성있고, 탄탄하여 가격측면에서 경쟁력이 조금 약해보이고, 선호하시는 고객층이
남성층에서 많이 보이다보니, 밝은 컬러감보다는 블랙컬러감이 있다면 반응도가 더 있을 듯 합니다.

32CPFB911
20대 중반부터 40대초반 여성층과 외국인층에게 반응이 높은 19S/S트렌드 뉴트로풍의 모노그램패턴아이템으로 반응이 있습니다.
19년 트렌드인 얼씨룩이 가능하여 고급스러우면서 시원한 느낌까지 있어 젊은 층에게서 요즘 더 인지도가 보이고 있습니다.
스트릿한 무드로 로고플레이 디자인으로 자연적인 컬러감을 활용한 패턴이 럭셔리한 느낌과 캐쥬얼한 느낌이 합쳐져 더욱 퀄리티있어보여 
포인트아이템으로 여성층에게 선호도가 높았습니다.
20대젊은 층부터해서 트렌디한 레트로디자인으로 해서 모노그램패턴이 버킷햇, 웨이스트백과 함께 해서 출시되어 여름 바캉스용으로 
그리고, 스포티하며, 베이직한 디자인들의 모자들과는 다르게 럭셔리하여 조금 한 단계 바캉스용만으로가 아닌 패셔너블한 모자로
포인트를 줄 수 있어 남녀 노소, 커플층에게 커플모자로까지하여  다양한 구매도가 이루어지고 있으며, 선호도가 높았습니다.
특히, 블랙컬러와 베이지컬러는 트렌디한 컬러감으로 해서 여성층에게서 선호도가 높았습니다.

",,"31SMS1931 
20대젊은 남성층에게 여름에 시원하고 간편한 스타일로 해서 반응도가 높았으며, 깔끔한 로고포인트 디자인으로 선호도가 높으며, 
길이감에서도 요즘 트렌드인 짧은 기장감이여서 9월초까지는 반응이 이어질 듯 합니다.
커플층의 연결구매가 이루어지는 스타일인데, 67,70,78의 경우 무난하게 상의와 매치하기 편한 블랙컬러가 전국재고가 소진되어
소량의 리오더가 되어도 9월까지 긴팔에 레이어드가능스타일로 괜찮을 듯 합니다.",,,,,M513,2019-08-05 00:00:00.000000,M513,2019-08-12 00:00:00.000000,
M,2019-32,014,"한창 무더위 날씨였던 한주 였으며, 휴가철로 인하여 입점고객수가 적음.
19FW 신상품들이 입고되었으며, 생각보다 고객들이 많이 보시고 구매도 하심. 두꺼운 맨투맨보다는 얇은긴팔티가 반응은 더좋음.
TSS3, TSSJ, TST0, TS03번 상품들이 저번주와 비슷하게 반응이 좋음. 
반바지는 SPD3, SMT3, SMS1번 상품들이 반응이 좋음. 많은 고객들이 생각보다 긴 기장을 좀더 선호하심.
빅볼청키는 SHC1 50I, SHC2 43I번이 제일 반응이 좋음. 플레이볼은 남성고객보다는 여성고객에게 반응이 좋은편임.
모자는 CP11, CP57, CP77, CP15, CPFB, CP16, CP13번등 매주 비슷하게 판매됨.
롱패딩 선구매 프로모션이 진행되었는데 아직까지는 반응이 저조한 편임. 휴가철도 지나고 좀더 지켜봐야할듯함.",,,,,"TSS3, TSSJ, TS21, TST0, SPD3, SMT3, SHC1, SHC2, CP11, CP77, CPFB, CP16, CP13, BGC9, BGP2",,,,,"리바이스 시즌오프 30~50%
버커루 시즌오프 20~50%",,m014,2019-08-11 00:00:00.000000,,2019-08-11 19:29:32.000000,
