MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG
196,2321,beri_ming__,Y,,,,,2020-09-07 00:00:00,0,0,0,0,2020-10-12 01:31:29,,,,
196,858,o.roraa,Y,,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-20 01:53:24,,,,
196,1308,k1mseohee,Y,91.0,31JPF1061_50B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:42:33,,,,
196,1523,suyeon__sky,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CEoanQvl4pc/,2020-09-02 00:00:00,2020-09-07 00:00:00,21335,1054,28,0,2020-08-18 00:42:47,,40.0,20.0,
196,1192,_su_s2,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CEQbx-Dlcbi/,2020-08-24 00:00:00,2020-09-07 00:00:00,57377,1114,29,0,2020-08-18 00:42:56,,40.0,20.0,
196,1531,yells_x,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CELNmrqHHR4/,2020-08-22 00:00:00,2020-09-07 00:00:00,14365,912,0,0,2020-08-18 00:43:04,,,,
196,1521,h04rang,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:11,,,,
196,1264,hxxyeoni,Y,91.0,31JPF6061_43B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:19,,,,
196,1522,qtd___,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEOBtUBB_UW/,2020-08-23 00:00:00,2020-09-07 00:00:00,76576,6196,113,0,2020-08-18 00:43:27,,,,
196,1272,sonjoo0.729,Y,91.0,31JPF2061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:36,,,,
196,1277,168___erica,Y,91.0,31JPF2061_50I,https://www.instagram.com/p/CEOzXs_MfVt/,2020-08-23 00:00:00,2020-09-07 00:00:00,14348,183,3,0,2020-08-18 00:43:44,,,,
196,1203,nyong99u,Y,91.0,31JPF3061_43B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:53,,,,
196,1232,scy__smine,Y,91.0,31JPF2061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:00,,,,
196,1273,maa_yoon,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CFMUWKxh4nr/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:07,,,,
196,1221,dawn.y_,Y,91.0,31JPF2061_43A,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:17,,,,
196,1528,iowe.tt,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEVhHgwnuvC/,2020-08-26 00:00:00,2020-09-07 00:00:00,11186,643,21,0,2020-08-18 00:44:25,,,,
196,1195,suvinci_,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:34,,,,
196,1519,sh__11.5,Y,91.0,31JPF2061_07K,https://www.instagram.com/p/CEMiq84ndWC/,2020-08-23 00:00:00,2020-09-07 00:00:00,23227,1108,21,0,2020-08-18 00:44:42,,,,
196,1324,2_elin,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:52,,,,
196,1380,rheegna,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:45:00,,,,
196,1534,se0zz,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CE6xNqAHOtU/,2020-09-09 00:00:00,2020-09-07 00:00:00,14705,221,3,0,2020-08-18 00:45:13,,,,
196,1518,peachcrush__,Y,91.0,31JPF3061_07U,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:55:24,,,,
196,1269,j_ssoohh,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEYwCc2nIqs/,2020-08-27 00:00:00,2020-09-07 00:00:00,52715,896,30,0,2020-08-18 00:55:36,,,,
196,1240,joco_unni,Y,91.0,31JPF3061_43B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:55:46,,,,
196,1529,ieenee._,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CETAyJoHnt6/,2020-08-25 00:00:00,2020-09-07 00:00:00,15604,717,39,0,2020-08-18 00:55:55,,,,
196,1329,hansugie,Y,91.0,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:03,,,,
196,1261,jeon9_a,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CFyRUpblUdq/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:11,,,,
196,1141,rian_bliss,Y,91.0,31JPF2061_43A,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:19,,,,
196,1327,bomnal_day,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CEO4luNnltf/,2020-08-23 00:00:00,2020-09-07 00:00:00,35585,1016,11,0,2020-08-18 00:56:26,,,,
196,1285,364d_,Y,91.0,31JPF1061_43K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:34,,,,
196,1167,its_suzy_time,Y,91.0,31JPF2061_50I,https://www.instagram.com/p/CFy7JuvBYmu/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:44,,,,
196,1331,s2hyunnn,Y,91.0,31JPF1061_50B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:52,,,,
196,919,wlgus2qh,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CEWgJz_DmQ2/,2020-08-26 00:00:00,2020-09-07 00:00:00,247176,5848,44,0,2020-08-18 00:57:20,,,,
196,1068,somsomvely,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEjPpxYndRc/,2020-08-31 00:00:00,2020-09-07 00:00:00,249773,2661,74,0,2020-08-18 00:57:30,,,,
196,973,syung.kim_,Y,91.0,31JPF1061_50I,https://www.instagram.com/p/CEjEdtDnMyT/,2020-08-31 00:00:00,2020-09-07 00:00:00,272562,6451,77,0,2020-08-18 00:57:38,,30.0,20.0,
196,722,heex.x,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CEeIvnclUUm/,2020-08-29 00:00:00,2020-09-07 00:00:00,219655,4404,31,0,2020-08-18 00:57:46,,,,
196,1010,lee.um,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CEgPD9HD55g/,2020-08-30 00:00:00,2020-09-07 00:00:00,215578,2274,27,0,2020-08-18 00:57:58,,40.0,20.0,
196,1200,67m.m,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:58:07,,,,
196,1077,yuuhyemin,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CElWdTCF-KQ/,2020-09-01 00:00:00,2020-09-07 00:00:00,201922,12363,28,0,2020-08-18 00:58:17,,,,
196,65,dpwls2da,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CET73D9FJd4/,2020-08-25 00:00:00,2020-09-07 00:00:00,175303,1931,31,0,2020-08-18 00:58:27,,40.0,20.0,
196,85,_____sia__,Y,91.0,31JPF4061_43P,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:58:35,,,,
196,1088,2tjdnjs,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:58:42,,,,
196,1204,imyeonduu,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CEk_906HdxZ/,2020-09-01 00:00:00,2020-09-07 00:00:00,163754,1571,15,0,2020-08-18 00:58:51,,,,
196,62,pongnim_c,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEO-_VDgXeI/,2020-08-23 00:00:00,2020-09-07 00:00:00,146424,1751,76,0,2020-08-18 00:58:58,,,,
196,1525,woou.c,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEdQFD3DDPI/,2020-08-29 00:00:00,2020-09-07 00:00:00,229369,6485,103,0,2020-08-18 00:59:06,,,,
196,1175,lo9ve8r01s,Y,91.0,31JPF1061_50B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:13,,,,
196,1309,hwa___ya,Y,91.0,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:21,,,,
196,229,da_yommmi,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:29,,,,
196,1004,chaae.rin,Y,91.0,31JPF3061_07U,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:37,,,,
196,1152,byul__xx,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CFHQE_9BkhE/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:46,,,,
196,915,dj_cheez_,Y,91.0,31JPF6061_50N,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:54,,,,
196,869,cq_bq,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:03,,,,
196,883,xno.xx,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CFOVr6nnPss/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:11,,,,
196,1237,l.o.v.e.e.u.n,Y,91.0,31JPF1061_43K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:19,,,,
196,559,jjina_v0v,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:28,,,,
196,900,xu.li9hts,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEUOJSrHw9M/,2020-08-25 00:00:00,2020-09-07 00:00:00,119194,3008,103,0,2020-08-18 01:00:37,,,,
196,1151,ohmyseon,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEn0aFgjTXb/,2020-09-02 00:00:00,2020-09-07 00:00:00,118753,1426,20,0,2020-08-18 01:00:45,,,,
196,905,sarahykim_,Y,91.0,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:54,,,,
196,231,yooni1022,Y,,31JPF1061_50I,https://www.instagram.com/p/CFW4hG7D2El/,,2020-09-07 00:00:00,0,0,0,0,2020-09-10 10:35:33,,,,
196,1373,jangeunhong,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CE6NzckH0lL/,2020-09-09 00:00:00,2020-09-07 00:00:00,15603,395,8,0,2020-08-18 01:33:32,,,,
196,1282,alistmary_,Y,,31JPF3061_07U,,,2020-09-07 00:00:00,0,0,0,0,2020-08-19 05:26:07,,,,
