,MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG,follower_score,interaction,int_pct,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
3,196,1523,suyeon__sky,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CEoanQvl4pc/,2020-09-02,2020-09-07,21335,1054,28,0,2020-08-18 00:42:47,,40.0,20.0,,10,1082,0.5,10,-5 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
4,196,1192,_su_s2,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CEQbx-Dlcbi/,2020-08-24,2020-09-07,57377,1114,29,0,2020-08-18 00:42:56,,40.0,20.0,,20,1143,0.6071428571428571,15,-14 days +00:00:00.000000000,1.0,10.0,20.0,65.0,B
5,196,1531,yells_x,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CELNmrqHHR4/,2020-08-22,2020-09-07,14365,912,0,0,2020-08-18 00:43:04,,,,,10,912,0.375,5,-16 days +00:00:00.000000000,1.0,,,,D
8,196,1522,qtd___,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEOBtUBB_UW/,2020-08-23,2020-09-07,76576,6196,113,0,2020-08-18 00:43:27,,,,,20,6309,0.9107142857142857,20,-15 days +00:00:00.000000000,1.0,,,,D
10,196,1277,168___erica,Y,91.0,31JPF2061_50I,https://www.instagram.com/p/CEOzXs_MfVt/,2020-08-23,2020-09-07,14348,183,3,0,2020-08-18 00:43:44,,,,,10,186,0.03571428571428571,1,-15 days +00:00:00.000000000,1.0,,,,D
15,196,1528,iowe.tt,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEVhHgwnuvC/,2020-08-26,2020-09-07,11186,643,21,0,2020-08-18 00:44:25,,,,,10,664,0.2857142857142857,5,-12 days +00:00:00.000000000,1.0,,,,D
17,196,1519,sh__11.5,Y,91.0,31JPF2061_07K,https://www.instagram.com/p/CEMiq84ndWC/,2020-08-23,2020-09-07,23227,1108,21,0,2020-08-18 00:44:42,,,,,10,1129,0.5625,10,-15 days +00:00:00.000000000,1.0,,,,D
20,196,1534,se0zz,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CE6xNqAHOtU/,2020-09-09,2020-09-07,14705,221,3,0,2020-08-18 00:45:13,,,,,10,224,0.0625,1,2 days 00:00:00.000000000,0.8,,,,D
22,196,1269,j_ssoohh,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEYwCc2nIqs/,2020-08-27,2020-09-07,52715,896,30,0,2020-08-18 00:55:36,,,,,20,926,0.39285714285714285,5,-11 days +00:00:00.000000000,1.0,,,,D
24,196,1529,ieenee._,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CETAyJoHnt6/,2020-08-25,2020-09-07,15604,717,39,0,2020-08-18 00:55:55,,,,,10,756,0.3392857142857143,5,-13 days +00:00:00.000000000,1.0,,,,D
