MISSION_SEQ,INFL_CHANNEL_NICK,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,follower_score,LIKE_CNT,REPLY_CNT,CONTENT_QLTY,HASHTAG_CMPLN,interaction,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
140,euddeume_,https://www.instagram.com/p/CBU8kisJT3-/,2020-06-12,2020-06-30,0,5,10305,72,40.0,20.0,10377,20,-18 days +00:00:00.000000000,1,10.0,20.0,55.0,B
140,yeonpilates,https://www.instagram.com/p/CBiB9hdgPE_/,2020-06-17,2020-06-30,0,5,1693,29,40.0,20.0,1722,15,-13 days +00:00:00.000000000,1,10.0,20.0,50.0,C
140,alyisia_gry,https://www.instagram.com/p/CBbuFNdluN8/?utm_source=ig_web_copy_link,2020-06-15,2020-06-30,0,5,3036,70,40.0,20.0,3106,20,-15 days +00:00:00.000000000,1,10.0,20.0,55.0,B
140,lee.um,https://www.instagram.com/p/CBnTl6-Dm8h/,2020-06-19,2020-06-30,0,5,2063,36,40.0,20.0,2099,15,-11 days +00:00:00.000000000,1,10.0,20.0,50.0,C
140,da_yommmi,https://www.instagram.com/p/CBf2p8GD5OZ/,2020-06-16,2020-06-30,0,5,2487,18,40.0,20.0,2505,20,-14 days +00:00:00.000000000,1,10.0,20.0,55.0,B
140,xhaenax,https://www.instagram.com/p/CBKs9Q9Jba7/,2020-06-08,2020-06-30,0,5,681,14,40.0,20.0,695,15,-22 days +00:00:00.000000000,1,10.0,20.0,50.0,C
140,foxy.is.me,https://www.instagram.com/p/CBc9S-IHN_X/,2020-06-15,2020-06-30,0,5,833,9,40.0,20.0,842,15,-15 days +00:00:00.000000000,1,10.0,20.0,50.0,C
140,kxxgsu,https://www.instagram.com/p/CBPanq1FEe-/,2020-06-10,2020-06-30,0,5,1136,20,20.0,20.0,1156,15,-20 days +00:00:00.000000000,1,10.0,10.0,40.0,C
140,somevely,https://www.instagram.com/p/CBXc7mMBici/,2020-06-13,2020-06-30,0,5,327,31,40.0,20.0,358,5,-17 days +00:00:00.000000000,1,10.0,20.0,40.0,C
140,j_able,https://www.instagram.com/p/CBKSJlWAdED/,2020-06-08,2020-06-30,0,5,427,24,40.0,20.0,451,5,-22 days +00:00:00.000000000,1,10.0,20.0,40.0,C
140,barbie_rachel_q.p,https://www.instagram.com/p/CBaDxXTHhNd/,2020-06-14,2020-06-30,0,5,4120,16,40.0,20.0,4136,20,-16 days +00:00:00.000000000,1,10.0,20.0,55.0,B
140,jjekkany,https://www.instagram.com/p/CBdDuWEgyiT/,2020-06-15,2020-06-30,0,5,540,20,40.0,10.0,560,10,-15 days +00:00:00.000000000,1,5.0,20.0,40.0,C
140,k._.ny,https://www.instagram.com/p/CBuLe-YgA0t/,2020-06-22,2020-06-30,0,5,532,14,30.0,20.0,546,10,-8 days +00:00:00.000000000,1,10.0,15.0,40.0,C
140,heetico_co,https://www.instagram.com/p/CBZ0x1KF2Iz/,2020-06-14,2020-06-30,0,5,636,3,40.0,20.0,639,10,-16 days +00:00:00.000000000,1,10.0,20.0,45.0,C
140,zizian_ber,https://www.instagram.com/p/CBerGRJDvcG/,2020-06-16,2020-06-30,0,5,495,20,40.0,20.0,515,10,-14 days +00:00:00.000000000,1,10.0,20.0,45.0,C
140,_sunheekimm,https://www.instagram.com/p/CBaZDoKHmAP/,2020-06-14,2020-06-30,0,5,450,7,40.0,20.0,457,5,-16 days +00:00:00.000000000,1,10.0,20.0,40.0,C
140,ryeon_chu,https://www.instagram.com/p/CBk_dmOHPvs/,2020-06-18,2020-06-30,0,5,431,13,40.0,20.0,444,5,-12 days +00:00:00.000000000,1,10.0,20.0,40.0,C
140,dj_siena,https://www.instagram.com/p/CBX7oSAFmUs/,2020-06-13,2020-06-30,0,5,12445,88,40.0,20.0,12533,20,-17 days +00:00:00.000000000,1,10.0,20.0,55.0,B
140,jooyeri,https://www.instagram.com/p/CBLVB-Ep1Iz/,2020-06-08,2020-06-30,0,5,516,21,40.0,20.0,537,10,-22 days +00:00:00.000000000,1,10.0,20.0,45.0,C
140,shinnashinna,https://www.instagram.com/p/CBP3Oyhn52p/,2020-06-10,2020-06-30,0,5,214,26,40.0,20.0,240,1,-20 days +00:00:00.000000000,1,10.0,20.0,36.0,C
140,lovely_cmj,https://www.instagram.com/p/CBfe5IADDlq/,2020-06-16,2020-06-30,0,5,244,15,40.0,20.0,259,1,-14 days +00:00:00.000000000,1,10.0,20.0,36.0,C
140,__c330,https://www.instagram.com/p/CBkJdeSpWJd/,2020-06-18,2020-06-30,0,5,235,13,40.0,20.0,248,1,-12 days +00:00:00.000000000,1,10.0,20.0,36.0,C
140,noooooooju,https://www.instagram.com/p/CBGDWSjFOpT/,2020-06-06,2020-06-30,0,5,153,3,40.0,20.0,156,1,-24 days +00:00:00.000000000,1,10.0,20.0,36.0,C
140,sangeunann,https://www.instagram.com/p/CBabTaRgxtS/,2020-06-14,2020-06-30,0,5,409,19,40.0,20.0,428,5,-16 days +00:00:00.000000000,1,10.0,20.0,40.0,C
142,zhangyiwen1991,https://www.instagram.com/p/CBnUxRkg403/,2020-06-19,2020-06-30,0,5,1221,31,20.0,20.0,1252,15,-11 days +00:00:00.000000000,1,10.0,10.0,40.0,C
142,yoon_hh,https://www.instagram.com/p/CBXPupyH_8O/,2020-06-13,2020-06-30,0,5,3675,13,40.0,20.0,3688,20,-17 days +00:00:00.000000000,1,10.0,20.0,55.0,B
142,godo.re,https://www.instagram.com/p/CBNXaezjNga/,2020-06-09,2020-06-30,0,5,992,54,30.0,20.0,1046,15,-21 days +00:00:00.000000000,1,10.0,15.0,45.0,C
142,rolemodel_ryu,https://www.instagram.com/p/CBaX2bLF8Gx/,2020-06-14,2020-06-30,0,5,4566,57,40.0,20.0,4623,20,-16 days +00:00:00.000000000,1,10.0,20.0,55.0,B
142,onlyonefreedom,https://www.instagram.com/p/CBau7brDv-R/,2020-06-14,2020-06-30,0,5,589,25,40.0,20.0,614,10,-16 days +00:00:00.000000000,1,10.0,20.0,45.0,C
142,realsei,https://www.instagram.com/p/CBh6JSLhpH1/,2020-06-17,2020-06-30,0,5,552,0,40.0,20.0,552,5,-13 days +00:00:00.000000000,1,10.0,20.0,40.0,C
142,5jhyun,https://www.instagram.com/p/CBcxpeolL3r/,2020-06-15,2020-06-30,0,5,177,4,40.0,20.0,181,1,-15 days +00:00:00.000000000,1,10.0,20.0,36.0,C
142,koo_jg,https://www.instagram.com/p/CBFMHm1nMYS/,2020-06-06,2020-06-30,0,5,195,0,40.0,20.0,195,5,-24 days +00:00:00.000000000,1,10.0,20.0,40.0,C
176,dayeon_diana,https://www.instagram.com/p/CDYy6bOA4yp/,2020-08-02,2020-09-30,140408,25,778,15,30.0,20.0,793,10,-59 days +00:00:00.000000000,1,10.0,15.0,60.0,B
176,96._.bo,https://www.instagram.com/p/CDQpgdAFf2j/,2020-07-30,2020-09-30,45431,15,340,26,40.0,20.0,366,5,-62 days +00:00:00.000000000,1,10.0,20.0,50.0,C
176,dldlsghk3124,https://www.instagram.com/p/CEIpvYiHIi5/,2020-08-21,2020-09-30,28362,10,1106,4,40.0,20.0,1110,15,-40 days +00:00:00.000000000,1,10.0,20.0,55.0,B
176,minsuu_,https://www.instagram.com/p/CDV-QeYj4kS/,2020-08-01,2020-09-30,77020,20,1289,18,40.0,20.0,1307,20,-60 days +00:00:00.000000000,1,10.0,20.0,70.0,B
