,body,date,title,url,author
0,캔버스화 ‘데님 플레이볼’ 등의 아이템을 더해 머리부터 발끝까지 완벽한 스타일링을 완성했다. 현아가 제안하는 MLB 맨투맨 코디와 더 많은 화보 컷은 공식 온라인몰과 인스타그램에서 만나볼 수 있다. 온라인뉴스부,2020.08.05,현아 ‘자유분방하고 힙하게’,https://www.seoul.co.kr/news/newsView.php?id=20200805500060&wlog_tag3=naver,서울신문
2,"현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 '빅로고 맨투맨'과 귀여운 강아지 캐릭터가 들어가 있는 '바크 맨투맨', 이 외에도 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다.",2020.08.05,"현아니까 소화해낼 수 있는 이색포즈, 역시 핫 패셔니스타",http://sports.chosun.com/news/ntype.htm?id=202008050100037790002322&servicedate=20200805,스포츠조선
4,현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 '빅로고 맨투맨'과 귀여운 강아지 캐릭터가 들어가 있는 '바크 맨투맨' 등 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다. MLB 맨투맨 코디는 공식...,2020.08.05,'현아'가 제안하는 'MLB 맨투맨' 스타일링,http://www.itnk.co.kr/news/articleView.html?idxno=64721,국제섬유신문
6,"ⓒ MLB(엠엘비) 현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 ‘빅로고 맨투맨’과 귀여운 강아지 캐릭터가 들어가 있는 ‘바크 맨투맨’, 이 외에도 다양한 로고 및 아트웍이 강조된...",2020.08.04,‘인간 MLB’ 현아가 제안하는 맨투맨 스타일링 궁금해?,http://zine.istyle24.com/Fashion/FashionView.aspx?Idx=49734&Menu=12&_C_=23069,스냅
8,"청키한 스니커즈와 데님 소재의 모노그램 캔버스화 등의 아이템을 더해 머리부터 발끝까지 완벽한 스타일링을 완성했다. 한편, 현아가 제안하는 MLB 맨투맨 코디와 더 많은 화보 컷은 공식 온라인몰과 SNS에서 만나볼 수 있다.",2020.08.04,"[★화보] 현아, 상큼+힙한 맨투맨 스타일링",http://moneys.mt.co.kr/news/mwView.php?no=2020080312308002226,머니S
10,맨투맨을 원피스처럼 연출한 현아는 팔 부분에 타투를 드러내 눈길을 끌었다. 현아가 제안하는 MLB 맨투맨 코디와 더 많은 화보 컷은 공식 온라인몰과 인스타그램에서 만나볼 수 있다.,2020.08.04,"맨투맨 입은 현아, 침대에 앉아 관능적 포즈",http://news.mt.co.kr/mtview.php?no=2020080308212334368,머니투데이
12,"현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 '빅로고 맨투맨'과 귀여운 강아지 캐릭터가 들어가 있는 '바크 맨투맨', 이 외에도 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다. MLB 맨투맨은 남녀 모두...",2020.08.04,"현아 화보, 남다른 맨투맨 스타일링 뿜뿜",http://www.dt.co.kr/contents.html?article_no=2020080302109919029032&ref=naver,디지털타임스
14,"현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 '빅로고 맨투맨'과 귀여운 강아지 캐릭터가 들어가 있는 '바크 맨투맨', 이 외에도 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다. MLB 맨투맨은 남녀 모두...",2020.08.04,'인간 MLB 현아'가 제안하는 맨투맨 스타일링 ... 레깅스 활용한 에슬레저룩부...,http://www.kdfnews.com/news/articleView.html?idxno=52371,한국면세뉴스
16,"에슬레저 룩부터 평소 즐겨 입는 핫 팬츠를 입은 모습 뿐 아니라 또 하의와 상의 맨투맨의 컬러를 같은 톤으로 맞추는 ‘톤톤 코디’, 오버사이즈 맨투맨을 원피스처럼 연출하는 등 남다른 패션 센스를 뽐냈다. 사진 = MLB",2020.08.03,"현아, 존재 자체가 '힙'한 그녀의 일상 스타일링",http://enews24.tving.com/news/article.asp?nsID=1347542,enews24
18,"현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 ‘빅로고 맨투맨’과 귀여운 강아지 캐릭터가 들어가 있는 ‘바크 맨투맨’, 이 외에도 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다. MLB 맨투맨은 남녀...",2020.08.03,"현아 화보, 존재 자체가 ‘힙’",http://star.mk.co.kr/new/view.php?mc=ST&year=2020&no=790715,매일경제
0,"수 있는 캔버스 소재 제품이고, 데님 플레이볼은 말 그대로 데님 소재 모노그램 캔버스화다. 현아의 MLB 맨투맨 코디와 더 많은 화보는 MLB 공식 온라인몰과 인스타그램에서 확인할 수 있다. ▶ 화보 속 스타 관련기사 모음",2020.08.03,"[화보] 색깔별 맨투맨 '착붙' 현아, MLB 화보 공개",https://www.nocutnews.co.kr/news/5388418,노컷뉴스
2,"현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 '빅로고 맨투맨'과 귀여운 강아지 캐릭터가 들어가 있는 '바크 맨투맨', 이 외에도 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다. MLB 맨투맨은 남녀 모두...",2020.08.03,"현아xMLB, '리얼 라이프 스타일' 담은 맨투맨 화보 공개",http://www.slist.kr/news/articleView.html?idxno=174804,싱글리스트
4,여기에 현아는 하이탑 슈즈를 매치하고 쭉 뻗은 각선미를 강조했다. 현아가 제안하는 MLB 맨투맨 코디와 더 많은 화보 컷은 공식 온라인몰과 인스타그램에서 만나볼 수 있다.,2020.08.03,쇼파 밟고 올라선 현아…맨투맨 입어도 숨길수 없는 각선미,http://news.mt.co.kr/mtview.php?no=2020080308355094232,머니투데이
6,"현아가 착용한 MLB 맨투맨은 브랜드 아이덴티티를 강조한 '빅로고 맨투맨'과 귀여운 강아지 캐릭터가 들어가 있는 '바크 맨투맨', 이 외에도 다양한 로고 및 아트웍이 강조된 제품들로 구성됐다. MLB 맨투맨은 남녀 모두...",2020.08.03,"스타일 아이콘 현아, 리얼 라이프 스타일 담은 맨투맨 화보 공개",http://www.stardailynews.co.kr/news/articleView.html?idxno=277986,스타데일리뉴스
